start,end,length
0,26513,254.70900000000006
0,42308,767.7999999999998
1,42717,259.67400000000004
1,42715,291.83900000000006
2,43763,433.1479999999999
2,43758,552.424
3,1030,86.25800000000001
1030,3,86.25800000000001
3,1332,85.342
1332,3,85.342
3,4,137.519
4,3,137.519
4,1749,84.572
1749,4,84.572
4,1031,86.442
1031,4,86.442
4,5,136.814
5,4,136.814
5,1750,86.566
5,6,270.947
6,5,270.947
6,1033,86.925
6,45566,200.546
45566,6,200.546
7,451,95.652
7,8,55.596000000000004
8,7,55.596000000000004
7,45566,20.291
45566,7,20.291
8,843,86.869
843,8,86.869
8,9,142.53199999999998
9,8,142.53199999999998
9,1034,85.19
11,10,271.702
11,53773,43.714
12,45552,17.096
12,428,86.20799999999998
13,12,105.55300000000001
13,821,79.65
821,13,79.65
13,820,86.374
820,13,86.374
14,13,128.512
14,66,87.268
66,14,87.268
14,2121,81.113
2121,14,81.113
15,2341,266.985
2341,15,266.985
15,254,249.50799999999998
15,518,153.183
518,15,153.183
15,55478,29.605999999999998
55478,15,29.605999999999998
16,17,239.745
16,2340,201.182
2340,16,201.182
17,18,127.58500000000001
18,51261,215.275
18,2797,90.62
19,129,80.866
129,19,80.866
19,1323,80.471
1323,19,80.471
20,1676,80.824
20,19,273.284
21,2174,81.107
21,20,271.734
22,45568,16.91
23,22,109.51899999999999
23,823,80.12400000000001
823,23,80.12400000000001
23,824,80.953
824,23,80.953
24,23,216.04399999999998
24,1678,88.268
1678,24,88.268
24,2120,85.097
2120,24,85.097
25,803,101.449
803,25,101.449
25,802,127.63300000000001
802,25,127.63300000000001
26,44183,263.181
44183,26,263.181
26,2195,96.326
2195,26,96.326
26,1860,171.363
1860,26,171.363
27,28,83.201
28,27,83.201
27,44183,22.926000000000002
44183,27,22.926000000000002
27,46264,246.774
28,2309,172.764
2309,28,172.764
28,45869,245.548
45869,28,245.548
29,30,311.31399999999996
29,1761,76.599
30,977,41.435
31,34,19.017000000000003
34,31,19.017000000000003
31,3043,158.46299999999997
3043,31,158.46299999999997
32,31,60.498000000000005
33,32,71.238
33,2397,78.17
2397,33,78.17
33,35,21.121000000000002
34,286,65.61699999999999
286,34,65.61699999999999
34,35,130.47
35,45694,129.015
36,52776,78.823
37,45579,24.467
37,412,94.214
38,37,154.372
38,45682,81.501
39,53872,78.361
39,49408,80.61699999999999
49408,39,80.61699999999999
40,39,275.139
40,49889,98.33800000000001
49889,40,98.33800000000001
40,807,79.678
807,40,79.678
40,47352,79.248
47352,40,79.248
41,53903,79.025
53903,41,79.025
41,42,273.755
41,868,81.524
868,41,81.524
42,43,271.016
42,1772,80.0
43,45578,129.929
43,1643,79.952
44,45,127.84
44,435,81.00200000000001
45,46,215.248
45,828,79.014
828,45,79.014
45,827,81.592
827,45,81.592
46,1644,94.109
1644,46,94.109
46,1774,84.18900000000001
1774,46,84.18900000000001
47,45510,32.75
45510,47,32.75
47,42068,109.305
42068,47,109.305
48,42068,24.895000000000003
42068,48,24.895000000000003
48,53472,73.83
50,51,113.452
50,376,47.252
51,3083,62.525999999999996
52,53295,88.58599999999998
52,2775,36.488
53,54,70.349
53,50476,55.861
54,55,87.162
55,43046,330.6400000000001
56,43046,247.873
57,749,86.073
58,42828,285.923
58,42829,794.1990000000001
59,52029,103.373
59,1118,101.187
1118,59,101.187
59,50557,177.501
50557,59,177.501
59,42834,15.532
42834,59,15.532
60,53174,109.186
61,65,148.11800000000005
61,135,55.334999999999994
135,61,55.334999999999994
61,44454,86.879
44454,61,86.879
62,3189,991.247
63,3182,109.561
64,287,55.665
65,80,82.482
66,44454,11.63
44454,66,11.63
66,820,144.178
820,66,144.178
66,323,88.29700000000001
323,66,88.29700000000001
67,2850,146.855
67,3049,79.93700000000001
68,50878,12.107
68,1300,82.824
68,55307,81.951
69,2910,133.076
70,43022,271.837
70,3064,32.425
71,44454,279.53600000000006
71,65,201.96499999999997
72,2619,140.983
72,1606,84.173
1606,72,84.173
72,2223,86.21199999999999
2223,72,86.21199999999999
73,44479,45.510999999999996
44479,73,45.510999999999996
73,2224,77.66799999999999
2224,73,77.66799999999999
74,75,91.274
74,76,68.236
75,1205,15.019
75,152,81.92999999999999
76,55,81.91499999999999
76,43048,194.959
43048,76,194.959
76,2305,16.86
2305,76,16.86
77,78,91.17
77,54001,329.028
77,1736,171.652
1736,77,171.652
78,43017,301.2270000000001
79,43019,896.3270000000001
80,61,158.82299999999995
80,62,269.079
81,51141,3.421
81,82,116.857
82,50567,2221.59
82,963,63.845
963,82,63.845
82,51149,82.57
51149,82,82.57
83,2924,82.643
83,69,514.1179999999999
84,85,84.832
84,48656,152.038
48656,84,152.038
84,1046,76.262
1046,84,76.262
85,3133,150.618
85,50355,46.381
86,46652,252.928
86,46651,242.788
87,50914,187.47099999999998
50914,87,187.47099999999998
87,734,273.096
734,87,273.096
87,2002,83.089
88,3134,134.994
88,53625,79.699
89,163,125.39699999999999
90,92,41.282
91,2633,79.423
91,55521,171.78
92,3112,1939.258
93,43163,28.061999999999998
93,43142,99.562
94,43042,213.794
