place,lng,lat
The Roosevelt Island Tramway,-73.96434990408102,40.7606100434254
The Museum of Modern Art (MoMA),-73.97714999999994,40.76108000000005
The National 9/11 Memorial & Museum,-74.01300999999995,40.71144000000004
Gulliver's Gate,-73.98694298881429,40.75760001817608
Chelsea Market,-74.0048973,40.7420513
Greenwich Village,-73.93361991920212,40.76629004011224
American Museum of Natural History,-73.97238999999996,40.781930000000045
Madison Square Garden,-73.99337999999995,40.750470000000064
Broadway,-73.909055,40.682105
Times Square,-73.9864139,40.7563318
St. Patrick's Cathedral,-73.9771999483822,40.75854004861719
Ellis Island,-74.01432684781629,40.70286383762584
The Oculus,-74.0110309859789,40.71235002051682
"Intrepid Sea, Air & Space Museum",-73.99870992358714,40.76432004140892
New York Public Library,-73.98370999999997,40.753810000000044
Staten Island Ferry,-74.0128326,40.7011583
Bryant Park,-73.98087993915233,40.75348006130824
Radio City Music Hall,-73.98002999999994,40.76036000000005
Rockefeller Center,-73.97995686116377,40.75925755
The Met Cloisters,-73.93169803262302,40.865229983285644
Grand Central Terminal,-73.9771792,40.7528064
One World Observatory,-74.01331999999996,40.71306000000004
Manhattan Skyline,-74.00600999999995,40.714500000000044
The High Line,-74.0082385,40.7398416
Brooklyn Bridge,-74.0036669,40.711607
Statue of Liberty,-74.04444999999998,40.68925000000007
Top of the Rock,-73.97737990784337,40.60125003131165
Empire State Building,-73.98549400921236,40.74866000597768
The Metropolitan Museum of Art,-73.96336411385192,40.779443650000005
Christmas Spectacular Starring the Radio City Rockettes,-73.98003202582711,40.76010000461716
Central Park,-73.97288273636447,40.76448998279874
Lincoln Center for the Performing Arts,-73.98205994348137,40.772170029008834
Kings County Distillery,-73.94408368906659,40.67878471436522
Majestic Theatre,-73.98801637890512,40.75841785
SeaGlass Carousel at The Battery,-74.01730701980055,40.70684000882639
Neue Galerie,-73.96032298633844,40.781300017042696
Museum of Jewish Heritage,-74.01791999999995,40.70539000000008
Whitney Museum of American Art,-74.00892095028976,40.73964505
