place,categories,user code,title,review,rating,date
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",blackpegasus,Great area!,"Great street full of shops, restaurants and bars. We took the Little Havana food tour with Miami Culinary Tours so we got food and cultural info. Then we wandered around on our own and visited some of the shops and had drinks. ",50,February 2020
Perez Art Museum Miami,Art Museums,Pennie727,Love to come here!,"We love to bring our out of town guests here! The exhibits are always unique, plus it has one of the best views in the city. After viewing the exhibits, we like to enjoy lunch on the patio watching the bay. There is also a sculpture garden a short walk down.",50,January 2020
Tropical Park,"Jogging Paths & Tracks, Parks",RRaposoMiami,Miami's central large park,"Tropical Park has a bit of everything for anyone looking for nature and sports activities. Have been here over the years for many company and family picnics, for little league baseball and adult softball games in one of the several lighted fields including for soccer. There are ball courts and many rentable shelters and the pine trees and other landscaping. There's a lake and a football stadium as well. Cross Country teams love to train using the little hill near the Miller Road south side. Visited recently to view my son playing a night softball game.",40,June 2019
Jungle Island,"Nature & Wildlife Areas, Zoos",work2travel,Simply Stunning. Truly Memorable Experience.,Only draw-back is the location is pretty isolated so if you didn't drive there you have to rely on taxis or rideshares.,50,October 2019
Hard Rock Stadium,Arenas & Stadiums,Ge0rgetravels,"Hard Rock Stadium 347 Don Shula Dr, Miami, FL","Came to this stadium to watch the Kansas City Chiefs defeat the San Francisco Forty Niners in Super Bowl LIV!  Great stadium and grounds! Security lines moved very quickly during entry into the stadium grounds!  Every seat in the stadium is a good seat offering an obstructed view!  Plenty of choices for food types! Easy to get around even with a large crowd such as the Super Bowl crowd!  To avoid driving in all the traffic, we decided to take an UBER to and from the stadium.  Ubering to the stadium was no problem at all. However, Trying to catch an UBER to leave the stadium was a very different story!!  The stadium has a lot designated for people to get and wait for  Ride shares after the game. After the first wave of Ubers left the stadium, Fresh or returning Ubers could not get into the area.  After a two hour wait, we decided to walk away from the stadium area to a shopping area where there is a Walmart, and try to get an Uber to pick us up there.  We were able to find an UBER to come get us. After another hour wait, he decided he could not get there and cancelled us!  We summoned another UBER, and he said he was coming to pick us up and it would be 18 min.  30 min later, he said he was having trouble getting to us because the police kept blocking off more and more streets causing him to try to find alternate routes. We finally were able to reach an agreement that had us once again hiking away to yet another location where the UBER could get to and we were able to intercept him out in the middle of a very busy street!  We ran thru the traffic to get to and then into his SUV and were finally on our way back to the hotel! Got to our Hotel about 1:45 in the morning!  Bottom line: Stadium great! / Transportation set-up  services following the event: Terrible.  No fault with the UBER drivers, But the stadium needs to come up with a better system to get Ride Shares services accomplished after the games!",40,February 2020
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",Reisegeisterxy,Feel like an Old Havana,"Always lots of people in restaurants, bars, supermarkets. Spanish is a must there. Some part of the street need urgently developing.",40,January 2020
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",yaf111,Worthwhile to go,"Little piece of Cuba in the very famous street where you feel all the cuban music in each and every bars and restaurant with people dancing around, even very old ones A must do in Miami",50,January 2020
Tropical Park,"Jogging Paths & Tracks, Parks",Lyn_Farmer,Expansive area for cookouts,Tropical Park in western Miami's Westchester neighborhood is a sprawling area with many free-to-use areas for picnics and grilling. There is room for frisbee throwing and many other outdoor pursuits and on Saturday from 9am to 3pm it hosts a very good farm market.,40,December 2018
Tropical Park,"Jogging Paths & Tracks, Parks",Anadearmas,Picnic Day,"Our company is doing an annual picnic in Tropical Park. Excellent location to ride bicycle, canoe, do BBQ, play Volleyball, or enjoy the batting gate facilities. Enjoy the Miami's weather.",50,February 2019
Jungle Island,"Nature & Wildlife Areas, Zoos",Photoman03,Wonderful Visual Beauty!!!,"While we certainly enjoyed the experience we found it a bit high priced, although well done. ",40,January 2020
